Log File Created At: 2021-12-28, 02:58:27pm
[Index_Home, 01:20:53am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:21:03am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:21:12am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:21:24am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:22:59am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:23:05am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:23:28am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:23:31am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:23:50am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:23:53am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:23:59am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:24:12am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:25:58am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:26:32am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:26:35am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:26:43am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:26:50am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:26:57am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:27:01am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:27:03am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:27:31am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:31:11am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:31:17am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:31:20am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:31:24am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:31:32am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:31:36am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:32:03am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:32:17am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 01:32:29am]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
=======
[Index_Home, 02:58:27pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 02:58:35pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:00:57pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:02:24pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:02:51pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:05:03pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[generalErrorHandler, 03:19:08pm]A general uncaught error has occured. Error Number: 2, Error Str: Undefined variable $archiveDate, Error Line: 72, Error File: /Users/ethanbower/Documents/MikeyDesigns/Controller/Shared/Logger.php
[generalErrorHandler, 03:19:08pm]A general uncaught error has occured. Error Number: 2, Error Str: Undefined variable $archiveDate, Error Line: 72, Error File: /Users/ethanbower/Documents/MikeyDesigns/Controller/Shared/Logger.php
[Index_Home, 03:20:17pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:20:31pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:20:46pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:21:02pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:23:40pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:23:52pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:25:17pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:26:33pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:26:43pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:27:29pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
Deleting archive file: /Users/ethanbower/Documents/MikeyDesigns/Logs/Log_2021-12-01.txt
[Index_Home, 03:29:18pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Logger, 03:30:59pm]          Deleting archive file: /Users/ethanbower/Documents/MikeyDesigns/Logs/Log_2021-12-01.txt
[Index_Home, 03:30:59pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:32:47pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_About, 03:35:22pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_Home, 03:55:55pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:59:27pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_About, 03:59:33pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_Home, 03:59:35pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_About, 03:59:46pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_Home, 03:59:51pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:59:55pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:59:56pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 03:59:57pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 04:04:14pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 04:04:42pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 04:06:10pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 04:06:43pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 04:08:50pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 04:08:51pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 04:08:52pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 04:08:53pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_About, 04:08:59pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_Home, 04:20:47pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_About, 04:21:35pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:25:35pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:27:02pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:28:18pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:28:31pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:29:51pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_Home, 04:30:11pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_About, 04:30:51pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_Home, 04:30:53pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_About, 04:31:22pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:47:50pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:48:38pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:49:35pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:49:47pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:51:53pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 04:52:36pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:02:18pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:03:26pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:07:35pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:08:02pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:09:22pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:09:33pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:11:11pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:11:24pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:12:04pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:12:30pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:13:02pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:15:12pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:16:22pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:20:36pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:25:05pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:26:36pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:27:31pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:27:45pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:27:56pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:29:47pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:34:25pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:36:24pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:37:15pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:37:55pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:38:32pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:39:42pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:49:49pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 05:50:00pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:00:00pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:06:35pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:06:45pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:09:33pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:09:50pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:10:04pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:12:53pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:13:40pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:17:57pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:18:29pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:19:45pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:19:57pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:21:13pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:23:21pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:24:10pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:24:35pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:25:48pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:30:13pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:33:17pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:34:48pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:35:06pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:35:27pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:36:23pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:36:38pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:36:49pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:38:03pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:38:50pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:39:30pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:39:41pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:39:50pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_About, 06:40:01pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
>>>>>>> 2d28034df0d676e27372de4d2501dca169ca016b
[Index_About, 10:04:27pm]     IP Remote/Forwarded (::1/Unknown) entered the about screen.
[Index_Home, 10:04:29pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:04:29pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:04:33pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:07:37pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:10:42pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:22:06pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:26:19pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:28:53pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:29:25pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:30:30pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:30:49pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:31:09pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:31:53pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:32:25pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:37:45pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:44:56pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:45:43pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:46:43pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:47:16pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:47:23pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:47:39pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:48:57pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:48:59pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:49:01pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:49:04pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:49:08pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:49:09pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:52:22pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:54:53pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:56:04pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 10:59:44pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 11:03:06pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
[Index_Home, 11:03:08pm]      IP Remote/Forwarded (::1/Unknown) entered the home screen.
